disease,rag_top_node_id,common_symptoms,total_symptoms,rag_total_symptoms,rag_matches,rag_hallucinations,no_rag_total_symptoms,no_rag_matches,no_rag_hallucinations,rag_accuracy,no_rag_accuracy,rag_precision,rag_recall,no_rag_precision,no_rag_recall
Alexander disease,31783,1,61,54,46,8,15,2,13,0.7540983606557377,0.03278688524590164,0.8518518518518519,0.7540983606557377,0.13333333333333333,0.03278688524590164
Alpha-mannosidosis,99138,21,42,41,1,40,28,2,26,0.023809523809523808,0.047619047619047616,0.024390243902439025,0.023809523809523808,0.07142857142857142,0.047619047619047616
Aspartylglucosaminuria,31742,0,43,17,10,7,24,1,23,0.23255813953488372,0.023255813953488372,0.5882352941176471,0.23255813953488372,0.041666666666666664,0.023255813953488372
Multiple sulfatase deficiency,29444,2,30,16,11,5,22,2,20,0.36666666666666664,0.06666666666666667,0.6875,0.36666666666666664,0.09090909090909091,0.06666666666666667
Beta-mannosidosis,99138,13,6,23,0,23,32,0,32,0.0,0.0,0.0,0.0,0.0,0.0
Canavan disease,30772,3,18,18,11,7,27,5,22,0.6111111111111112,0.2777777777777778,0.6111111111111112,0.6111111111111112,0.18518518518518517,0.2777777777777778
Fucosidosis,27474,1,31,26,19,7,25,1,24,0.6129032258064516,0.03225806451612903,0.7307692307692307,0.6129032258064516,0.04,0.03225806451612903
Glycogen storage disease due to glycogen debranching enzyme deficiency,38668,17,7,27,2,25,24,2,22,0.2857142857142857,0.2857142857142857,0.07407407407407407,0.2857142857142857,0.08333333333333333,0.2857142857142857
Krabbe disease,33153,2,50,41,15,26,29,8,21,0.3,0.16,0.36585365853658536,0.3,0.27586206896551724,0.16
Glycogen storage disease due to muscle phosphofructokinase deficiency,27292,4,6,18,1,17,26,1,25,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.038461538461538464,0.16666666666666666
Mucopolysaccharidosis type 6,27436,10,27,22,6,16,26,5,21,0.2222222222222222,0.18518518518518517,0.2727272727272727,0.2222222222222222,0.19230769230769232,0.18518518518518517
Sialidosis type 1,33195,0,42,33,13,20,2,0,2,0.30952380952380953,0.0,0.3939393939393939,0.30952380952380953,0.0,0.0
Mucolipidosis type IV,27333,0,27,18,3,15,20,1,19,0.1111111111111111,0.037037037037037035,0.16666666666666666,0.1111111111111111,0.05,0.037037037037037035
Mucolipidosis type III,27333,0,36,18,8,10,19,1,18,0.2222222222222222,0.027777777777777776,0.4444444444444444,0.2222222222222222,0.05263157894736842,0.027777777777777776
Mucopolysaccharidosis type 7,27436,9,26,18,3,15,24,3,21,0.11538461538461539,0.11538461538461539,0.16666666666666666,0.11538461538461539,0.125,0.11538461538461539
Recessive X-linked ichthyosis,29420,2,12,18,5,13,23,4,19,0.4166666666666667,0.3333333333333333,0.2777777777777778,0.4166666666666667,0.17391304347826086,0.3333333333333333
Turner syndrome,32829,6,115,33,28,5,29,10,19,0.24347826086956523,0.08695652173913043,0.8484848484848485,0.24347826086956523,0.3448275862068966,0.08695652173913043
Beta-thalassemia,33434,1,21,23,12,11,25,2,23,0.5714285714285714,0.09523809523809523,0.5217391304347826,0.5714285714285714,0.08,0.09523809523809523
Cystic fibrosis,28714,5,35,26,10,16,21,8,13,0.2857142857142857,0.22857142857142856,0.38461538461538464,0.2857142857142857,0.38095238095238093,0.22857142857142856
Alpha-thalassemia,31842,5,23,22,10,12,31,4,27,0.43478260869565216,0.17391304347826086,0.45454545454545453,0.43478260869565216,0.12903225806451613,0.17391304347826086
Facioscapulohumeral dystrophy,31356,10,37,21,4,17,18,2,16,0.10810810810810811,0.05405405405405406,0.19047619047619047,0.10810810810810811,0.1111111111111111,0.05405405405405406
Emery-Dreifuss muscular dystrophy,27674,1,44,20,16,4,21,2,19,0.36363636363636365,0.045454545454545456,0.8,0.36363636363636365,0.09523809523809523,0.045454545454545456
Kearns-Sayre syndrome,28773,3,30,17,13,4,19,6,13,0.43333333333333335,0.2,0.7647058823529411,0.43333333333333335,0.3157894736842105,0.2
Thomsen and Becker disease,27944,0,15,17,0,17,21,3,18,0.0,0.2,0.0,0.0,0.14285714285714285,0.2
MERRF,29913,3,11,16,10,6,25,2,23,0.9090909090909091,0.18181818181818182,0.625,0.9090909090909091,0.08,0.18181818181818182
Central core disease,27799,3,25,24,19,5,21,3,18,0.76,0.12,0.7916666666666666,0.76,0.14285714285714285,0.12
Marfan syndrome,38220,21,68,27,12,15,24,9,15,0.17647058823529413,0.1323529411764706,0.4444444444444444,0.17647058823529413,0.375,0.1323529411764706
Ataxia-telangiectasia,30665,2,37,19,5,14,29,5,24,0.13513513513513514,0.13513513513513514,0.2631578947368421,0.13513513513513514,0.1724137931034483,0.13513513513513514
Down syndrome,32076,3,72,51,38,13,23,6,17,0.5277777777777778,0.08333333333333333,0.7450980392156863,0.5277777777777778,0.2608695652173913,0.08333333333333333
CHARGE syndrome,31003,3,94,92,69,23,34,9,25,0.7340425531914894,0.09574468085106383,0.75,0.7340425531914894,0.2647058823529412,0.09574468085106383
Oculocerebrorenal syndrome of Lowe,29016,0,120,24,3,21,32,4,28,0.025,0.03333333333333333,0.125,0.025,0.125,0.03333333333333333
Retinoblastoma,31883,2,27,21,18,3,25,3,22,0.6666666666666666,0.1111111111111111,0.8571428571428571,0.6666666666666666,0.12,0.1111111111111111
Fragile X syndrome,27967,5,33,23,17,6,27,6,21,0.5151515151515151,0.18181818181818182,0.7391304347826086,0.5151515151515151,0.2222222222222222,0.18181818181818182
Mucopolysaccharidosis type 1,27436,9,57,19,6,13,22,4,18,0.10526315789473684,0.07017543859649122,0.3157894736842105,0.10526315789473684,0.18181818181818182,0.07017543859649122
Williams syndrome,30529,3,187,189,146,43,30,7,23,0.7807486631016043,0.0374331550802139,0.7724867724867724,0.7807486631016043,0.23333333333333334,0.0374331550802139
Wolf-Hirschhorn syndrome,32102,5,95,115,76,39,32,9,23,0.8,0.09473684210526316,0.6608695652173913,0.8,0.28125,0.09473684210526316
Ataxia with vitamin E deficiency,28900,4,37,17,18,-1,16,10,6,0.4864864864864865,0.2702702702702703,1.0588235294117647,0.4864864864864865,0.625,0.2702702702702703
Rheumatic fever,32807,4,36,20,18,2,18,7,11,0.5,0.19444444444444445,0.9,0.5,0.3888888888888889,0.19444444444444445
X-linked agammaglobulinemia,38989,12,35,12,0,12,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0
Wiskott-Aldrich syndrome,27973,3,57,22,9,13,26,6,20,0.15789473684210525,0.10526315789473684,0.4090909090909091,0.15789473684210525,0.23076923076923078,0.10526315789473684
Hypophosphatasia,29033,1,20,36,11,25,32,2,30,0.55,0.1,0.3055555555555556,0.55,0.0625,0.1
Hydrocephalus with stenosis of the aqueduct of Sylvius,94969,17,15,29,2,27,27,1,26,0.13333333333333333,0.06666666666666667,0.06896551724137931,0.13333333333333333,0.037037037037037035,0.06666666666666667
Ornithine transcarbamylase deficiency,31982,2,29,16,10,6,29,4,25,0.3448275862068966,0.13793103448275862,0.625,0.3448275862068966,0.13793103448275862,0.13793103448275862
Kennedy disease,28888,4,13,19,10,9,28,2,26,0.7692307692307693,0.15384615384615385,0.5263157894736842,0.7692307692307693,0.07142857142857142,0.15384615384615385
X-linked retinoschisis,30609,0,16,17,10,7,27,3,24,0.625,0.1875,0.5882352941176471,0.625,0.1111111111111111,0.1875
Hypochondroplasia,98702,14,20,42,2,40,32,2,30,0.1,0.1,0.047619047619047616,0.1,0.0625,0.1
X-linked hypohidrotic ectodermal dysplasia,29412,0,14,31,8,23,32,1,31,0.5714285714285714,0.07142857142857142,0.25806451612903225,0.5714285714285714,0.03125,0.07142857142857142
Blue cone monochromatism,30200,5,12,17,9,8,14,4,10,0.75,0.3333333333333333,0.5294117647058824,0.75,0.2857142857142857,0.3333333333333333
Neurofibromatosis type 1,27275,0,77,17,15,2,31,11,20,0.19480519480519481,0.14285714285714285,0.8823529411764706,0.19480519480519481,0.3548387096774194,0.14285714285714285
Non-acquired isolated growth hormone deficiency,33166,13,19,19,6,13,20,4,16,0.3157894736842105,0.21052631578947367,0.3157894736842105,0.3157894736842105,0.2,0.21052631578947367
Chronic granulomatous disease,97606,10,22,26,2,24,32,5,27,0.09090909090909091,0.22727272727272727,0.07692307692307693,0.09090909090909091,0.15625,0.22727272727272727
Homocystinuria due to cystathionine beta-synthase deficiency,29289,0,62,21,14,7,25,4,21,0.22580645161290322,0.06451612903225806,0.6666666666666666,0.22580645161290322,0.16,0.06451612903225806
