disease,rag_top_node_id,common_symptoms,total_symptoms,rag_total_symptoms,rag_matches,rag_hallucinations,no_rag_total_symptoms,no_rag_matches,no_rag_hallucinations,rag_accuracy,no_rag_accuracy,rag_precision,rag_recall,no_rag_precision,no_rag_recall
Alexander disease,31783,1,17,54,14,40,15,1,14,0.8235294117647058,0.058823529411764705,0.25925925925925924,0.8235294117647058,0.06666666666666667,0.058823529411764705
Alpha-mannosidosis,99138,21,15,41,1,40,28,1,27,0.06666666666666667,0.06666666666666667,0.024390243902439025,0.06666666666666667,0.03571428571428571,0.06666666666666667
Aspartylglucosaminuria,31742,0,17,17,3,14,24,1,23,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.041666666666666664,0.058823529411764705
Multiple sulfatase deficiency,29444,2,11,16,3,13,22,2,20,0.2727272727272727,0.18181818181818182,0.1875,0.2727272727272727,0.09090909090909091,0.18181818181818182
Beta-mannosidosis,99138,13,6,23,0,23,32,0,32,0.0,0.0,0.0,0.0,0.0,0.0
Canavan disease,30772,3,6,18,3,15,27,1,26,0.5,0.16666666666666666,0.16666666666666666,0.5,0.037037037037037035,0.16666666666666666
Fucosidosis,27474,1,17,26,9,17,25,0,25,0.5294117647058824,0.0,0.34615384615384615,0.5294117647058824,0.0,0.0
Glycogen storage disease due to glycogen debranching enzyme deficiency,38668,17,6,27,2,25,24,2,22,0.3333333333333333,0.3333333333333333,0.07407407407407407,0.3333333333333333,0.08333333333333333,0.3333333333333333
Krabbe disease,33153,2,16,41,6,35,29,2,27,0.375,0.125,0.14634146341463414,0.375,0.06896551724137931,0.125
Glycogen storage disease due to muscle phosphofructokinase deficiency,27292,4,3,18,0,18,26,0,26,0.0,0.0,0.0,0.0,0.0,0.0
Mucopolysaccharidosis type 6,27436,10,13,22,3,19,26,3,23,0.23076923076923078,0.23076923076923078,0.13636363636363635,0.23076923076923078,0.11538461538461539,0.23076923076923078
Sialidosis type 1,33195,0,30,33,10,23,2,0,2,0.3333333333333333,0.0,0.30303030303030304,0.3333333333333333,0.0,0.0
Mucolipidosis type IV,27333,0,13,18,2,16,20,1,19,0.15384615384615385,0.07692307692307693,0.1111111111111111,0.15384615384615385,0.05,0.07692307692307693
