disease,rag_top_node_id,common_symptoms,total_symptoms,rag_total_symptoms,rag_matches,rag_hallucinations,no_rag_total_symptoms,no_rag_matches,no_rag_hallucinations,rag_accuracy,no_rag_accuracy,rag_precision,rag_recall,no_rag_precision,no_rag_recall
Neurodevelopmental disorder with hypotonia and characteristic brain abnormalities,29640,2,48,19,4,15,34,4,30,0.08333333333333333,0.08333333333333333,0.21052631578947367,0.08333333333333333,0.11764705882352941,0.08333333333333333
Tuberous sclerosis-2,31194,8,16,25,5,20,47,7,40,0.3125,0.4375,0.2,0.3125,0.14893617021276595,0.4375
"Autoinflammatory disease, systemic, with vasculitis",38204,12,42,24,6,18,32,10,22,0.14285714285714285,0.23809523809523808,0.25,0.14285714285714285,0.3125,0.23809523809523808
Multiple congenital anomalies-hypotonia-seizures syndrome 2,30436,0,174,22,14,8,18,3,15,0.08045977011494253,0.017241379310344827,0.6363636363636364,0.08045977011494253,0.16666666666666666,0.017241379310344827
Neurodevelopmental disorder with epilepsy and hemochromatosis,30942,0,45,16,3,13,31,0,31,0.06666666666666667,0.0,0.1875,0.06666666666666667,0.0,0.0
"Amyloidosis, hereditary systemic 6",37798,13,8,32,1,31,29,1,28,0.125,0.125,0.03125,0.125,0.034482758620689655,0.125
Developmental and epileptic encephalopathy 4,28987,1,513,22,24,-2,46,28,18,0.04678362573099415,0.05458089668615984,1.0909090909090908,0.04678362573099415,0.6086956521739131,0.05458089668615984
STAR syndrome,27913,0,27,17,0,17,34,0,34,0.0,0.0,0.0,0.0,0.0,0.0
"Amelogenesis imperfecta, type IA",28782,10,3,24,3,21,16,2,14,1.0,0.6666666666666666,0.125,1.0,0.125,0.6666666666666666
Multiple endocrine neoplasia 1,28426,9,17,46,1,45,34,1,33,0.058823529411764705,0.058823529411764705,0.021739130434782608,0.058823529411764705,0.029411764705882353,0.058823529411764705
"Maple syrup urine disease, type Ib",95137,23,7,31,1,30,31,1,30,0.14285714285714285,0.14285714285714285,0.03225806451612903,0.14285714285714285,0.03225806451612903,0.14285714285714285
Combined oxidative phosphorylation deficiency 59,38594,18,27,28,2,26,26,1,25,0.07407407407407407,0.037037037037037035,0.07142857142857142,0.07407407407407407,0.038461538461538464,0.037037037037037035
"Congenital disorder of glycosylation, type Il",35493,8,29,9,0,9,11,0,11,0.0,0.0,0.0,0.0,0.0,0.0
Developmental and epileptic encephalopathy 113,28987,1,24,25,5,20,33,2,31,0.20833333333333334,0.08333333333333333,0.2,0.20833333333333334,0.06060606060606061,0.08333333333333333
Neurodevelopmental disorder with hypotonia and seizures,29640,3,17,27,4,23,27,1,26,0.23529411764705882,0.058823529411764705,0.14814814814814814,0.23529411764705882,0.037037037037037035,0.058823529411764705
"Short stature, optic nerve atrophy, and Pelger-Huet anomaly",28948,2,107,25,9,16,21,3,18,0.08411214953271028,0.028037383177570093,0.36,0.08411214953271028,0.14285714285714285,0.028037383177570093
Long QT syndrome 14,27326,4,6,18,4,14,28,1,27,0.6666666666666666,0.16666666666666666,0.2222222222222222,0.6666666666666666,0.03571428571428571,0.16666666666666666
Prolonged electroretinal response suppression 1,36185,24,5,32,4,28,40,4,36,0.8,0.8,0.125,0.8,0.1,0.8
Aarskog-Scott syndrome,27534,6,72,65,29,36,60,9,51,0.4027777777777778,0.125,0.4461538461538462,0.4027777777777778,0.15,0.125
"Spherocytosis, type 5",27542,6,6,18,3,15,38,6,32,0.5,1.0,0.16666666666666666,0.5,0.15789473684210525,1.0
Distal renal tubular acidosis 1,31011,6,8,21,2,19,22,2,20,0.25,0.25,0.09523809523809523,0.25,0.09090909090909091,0.25
Distal renal tubular acidosis 4 with hemolytic anemia,30435,6,27,20,12,8,21,2,19,0.4444444444444444,0.07407407407407407,0.6,0.4444444444444444,0.09523809523809523,0.07407407407407407
"Spherocytosis, type 4",27542,5,16,17,3,14,26,5,21,0.1875,0.3125,0.17647058823529413,0.1875,0.19230769230769232,0.3125
